no,row,material,form,grs,x,unit_printed,unit_grs,correction,detail
3422,entry,BAS.,394,71740.,500,.5,143.5,,-30
3423,entry,ALAB.,254,71.8,1/2,.6,143.6,,
3424,entry,GN.BK.LIM.,165,71.8,1/2,.6,143.6,,
3425,entry,BAS.,381,2872.7,20,.6,143.6,,
3425,continuation,,,5745.,40,.6,143.6,,SEE P
3426,entry,GY.SY.,359,7184.,50,.6,143.6,,
3427,entry,LIM.,33,47.9,1/3,.7,143.7,,
3428,entry,BAS.,262,47.9,1/3,.7,143.7,,
3429,entry,BAS.,338,287.5,2,.7,143.7,,
3430,entry,BAS.,21,574.7,4,.7,143.7,,
3431,entry,GY.SY.,54,5749.,25,.7,143.7,"x: printed 25, read as 40 (5749/40 = 143.7 matches the unit column)",KAHUN
3432,entry,BAS.,265,143.8,1,.8,143.8,,
3433,entry,BAS.,428,143.8,1,.8,143.8,,
3434,entry,HAEM.,497,719.2,5,.8,143.8,,XVII.
3435,entry,GY.METAM.,486,1438.1,10,.8,143.8,,XVIII
3436,entry,BAS.,356,1438.4,10,.8,143.8,,
3437,entry,ALAB.,426,2875.3,20,.8,143.8,,
3438,entry,LIM.,65,2877.2,20,.8,143.8,,KAHUN
3439,entry,BK.QTZOSE,558,3596.0,25,.8,143.8,,XXIII
3440,entry,BAS.,822,28770.,200,.8,143.8,,V
3441,entry,GY.QTZOSE,265,143.9,1,.9,143.9,,
3442,entry,BAS.,324,287.8,2,.9,143.9,,
3443,entry,BAS.,406,287.8,2,.9,143.9,,
3444,entry,BK.WT.SERP,448,287.8,2,.9,143.9,,
3445,entry,LIM.,913,1439.1,10,.9,143.9,,KAHUN XVIII
3446,entry,LIM.,497,1439.4,10,.9,143.9,,XVIII
3447,entry,BK.WT.SY.,33,48.0,1/3,144.0,144.0,,
3448,entry,GY.QTZOSE,20,72.0,1/2,.0,144.0,,
3449,entry,HAEM.,486,144.0,1,.0,144.0,,XVIII
3450,entry,LIM.,498,144.0,1,.0,144.0,,-.1
3451,entry,BAS.,344,144.0,1,.0,144.0,,
3452,entry,BAS.,373,288.1,2,144.0,144.0,,
3453,entry,LIM.,63,576.,4,.0,144.0,,IIII -1.8
3454,entry,HAEM.,397,719.9,5,.0,144.0,,GHUROB
3455,entry,BAS.,272,719.9,5,.0,144.0,,
3456,entry,BAS.,369,720.1,5,.0,144.0,,
3457,entry,GY.SY.,33,720.2,5,.0,144.0,,
3458,entry,GY.PORPH,245,7196.,50,.0,144.0,,
3459,entry,QTZITE.,207,14402.,100,.0,144.0,,
3460,entry,BAS.,32,144.1,1,.1,144.1,,
3461,entry,BAS.,366,288.3,2,.1,144.1,,
3462,entry,GY.QTZOSE,55,2882.3,20,.1,144.1,,MERNPTH
3463,entry,QTZITE.,382,7206.2,50,.1,144.1,,
3464,entry,LIM.,9,14415.,100,.1,144.1,,
3465,entry,BAS.,336,72.1,1/2,.2,144.2,,-.3
3466,entry,BK.STEA.,22,144.2,1,.2,144.2,,
3467,entry,BAS.,338,288.4,2,.2,144.2,,
3468,entry,BAS.,314,576.7,4,.2,144.2,,
3469,entry,BAS.,83,721.2,5,.2,144.2,,MERNPTH
3470,entry,RED SY.,345,5768.,40,.2,144.2,,
3471,entry,BAS.,254,48.1,1/3,.3,144.3,,
3472,entry,BAS.,26,144.3,1,.3,144.3,,
3473,entry,HAEM.,498,1442.8,10,.3,144.3,,XVIII
3474,entry,BAS.,265,72.2,1/2,.4,144.4,,
3475,entry,BAS.,202,72.2,1/2,.4,144.4,,
3476,entry,GY.SY.,33,72.2,1/2,.4,144.4,,
3477,entry,BK.QTZOSE,32,72.2,1/2,.4,144.4,,
3478,entry,SERP.,271,144.4,1,.4,144.4,,
3479,entry,BAS.,265,288.9,2,.4,144.4,,
3480,entry,BAS.,44,288.9,2,.4,144.4,,
3481,entry,Y.SERP.,32,721.8,5,.4,144.4,,
3482,entry,BAS.,446,722.1,5,.4,144.4,,
3483,entry,QTZITE,372,2888.4,20,.4,144.4,,
3484,entry,BAS.,653,5775.,40,.4,144.4,,QUFT cartouche V
3485,entry,GY.SY.,261,72200.,500,.4,144.4,,-20
3486,entry,BK.QTZOSE,335,289.1,2,.5,144.5,,
3487,entry,LIM.,452,722.7,5,.5,144.5,,
3488,entry,RED GRAN,256,72250.,500,.5,144.5,,
3489,entry,BK.SERP.,487,72.3,1/2,.6,144.6,,
3490,entry,BAS.,33,289.3,2,.6,144.6,,
3491,entry,GY.QTZOSE,387,1446.2,10,.6,144.6,,
