No.,Material,Form,Present,Ch.,Ancient,x,Unit
59,Syenite gn.,59,7110,,7117,50,142.3
60,Bronze L.,36,709.7,,712,5,142.4
61,Basalt br.,44100,570.7,,570.7,4,142.7
62,Limestone,38,1427.5,,1428.0,10,142.8
63,Alabaster,16—35,713.6,,714.0,5,142.8
64,Syenite bl.,38,1428.0,,1428.8,10,142.9
65,Syenite,27,285.8,,285.8,2,142.9
66,Bronze,32—33,287.5,,286.0,2,143.0
67,Basalt bl.,25—33,141.3,,143.0,1,143.0
68,Syenite bl.,12—18,1431.0,,1431.0,10,143.1
69,Basalt bl.,20,714.2,,715.7,5,143.1
70,Basalt bl.,27—33,286.6,,286.6,2,143.3
71,Syenite,27,719.1,,717.5,5,143.5
72,Syenite gn.,8,2872.8,,2872.8,20,143.6
73,Limestone,27—30,143.7,,143.8,1,143.8
74,Basalt br.,27,287.3,,287.8,2,143.9
75,Basalt bl.,26—27,143.9,,143.9,1,143.9
76,Basalt br.,27,717.8,,719.9,5,144.0
77,Pyroxene gn.,18,144.0,,144.0,1,144.0
78,Bronze,43,76.2,4,72,½,144
79,Basalt br.,27—33,1436.5,,1441,10,144.1
80,Syenite bl.,19—39,7138,,7210,50,144.2
81,Basalt bl.,33,288.4,,288.4,2,144.2
82,Basalt bl.,25—33,2877.1,,2890,20,144.5
83,Basalt br.,26—33,144.6,,144.5,1,144.5
84,Sandstone,36,2891.9,,2893,20,144.7
85,Bronze,20—40,143.2,,1447,1,144.7
86,Basalt bl.,38—39,1448.6,,1448.9,10,144.9
87,Syenite,23—27,289.7,,289.7,2,144.9
88,Limestone,8—19,289.8,,289.8,2,144.9
89,Bronze,47,72.7,,72.5,½,145
90,Basalt br.,33—34,7213,,7245,50,145.0
91,Basalt br.,33,8292,B,14500,100,145
92,Basalt br.,27,2900.1,B,2900,20,145
93,Granite gr.,39,2823.5,,2890,20,145.0
94,Bronze bl.,52,27.2,2,29.0,⅕,145
95,Basalt bl.,26—27,145.1,,145.1,1,145.1
96,Basalt br.,33,6768,B,7270,53,145.4
97,Porphyry gr.,54,2907.0,,2907.5,20,145.4
98,Basalt br.,37—38,727.0,,727.0,5,145.4
99,Hematite bl.,11,727.2,,727.2,5,145.4
100,Syenite gr.,27,727.0,,727.0,5,145.4
101,Porphyry gn.,81,727.6,,727.6,5,145.5
102,Syenite bl.,40—43,2908.3,,2912,20,145.6
103,Basalt br.,27—33,2913.3,,2915,20,145.7
