id,Material,Form,Present,Ch.,Ancient,x,Unit,Standard,Description
195,Alabaster,12-24,622.4,NA,622.8,5,124.6,Assyrian Shekel,NA
196,Bronze,57,251.3*,NA,249.6,2,124.8,Assyrian Shekel,NA
197,Bronze,66,120.7,43,125.0,10,125.,Assyrian Shekel,NA
198,Bronze,19-27,238.6,11,250,2,125.,Assyrian Shekel,NA
199,Bronze,26-33,238.4,13,251,2,125.5,Assyrian Shekel,NA
200,"Basalt, br.",38,1504.5,NA,1507,12,125.6,Assyrian Shekel,NA
201,"Porphyry, gn.",4-7,377.5,NA,377.5,30,125.8,Assyrian Shekel,"Black-green porphyry, with grey-green crystals."
202,Bronze,33-40,630.6,*,629.,5,125.8,Assyrian Shekel,NA
203,Limestone,27,2506.6,NA,2520,20,126.0,Assyrian Shekel,"Hard white limestone, weathering brown and smooth; Mokattam stone (?)."
204,Limestone,14,756.5,NA,756.0,6,126.0,Assyrian Shekel,"Hard white limestone (see No. 111). Found with large find of bronzes, middle of IIIrd cent. B.C."
205,Lead,63,385.4,36,378,3,126.,Assyrian Shekel,"Found in temenos of Apollo, with drab bowls, painted with eyes. End of VIth cent. B.C."
206,Bronze,25,20.8,5,21.0,½,126.,Assyrian Shekel,NA
207,"Basalt, br.",38,1259.2,NA,1261.6,10,126.2,Assyrian Shekel,NA
208,Limestone,31,249.9,NA,252.5,2,126.2,Assyrian Shekel,See No. 11.
209,"Basalt, bl.",36,63.1,NA,63.1,1,126.2,Assyrian Shekel,NA
210,"Basalt, br.",12-27,252.9,NA,252.9,2,126.5,Assyrian Shekel,NA
211,Bronze,37,121.0,NA,126.5,1,126.5,Assyrian Shekel,NA
212,"Basalt, br.",33,1517.1,NA,1519.3,12,126.6,Assyrian Shekel,NA
213,"Bronze, L.",33,1281.0,NA,1247,10,126.7,Assyrian Shekel,Found with No. 237; both of fine form.
214,Alabaster,23-27,252.2,NA,253.4,2,126.7,Assyrian Shekel,NA
215,"Basalt, bl.",12,2527.2,NA,2536,20,126.8,Assyrian Shekel,NA
216,Alabaster,30,126.5,NA,126.8,1,126.8,Assyrian Shekel,NA
217,Limestone,18-23,126.8,NA,126.8,1,126.8,Assyrian Shekel,"Soft, jet-black, highly polished, limestone. I have one similar in form and material, of 132.2 (Cairo, 1884)."
218,"Basalt, br.",38-41,761.6,NA,761.6,6,127.0,Assyrian Shekel,NA
219,Bronze,25,128.4,4,127.,1,127.,Assyrian Shekel,NA
220,Limestone,78,1906.3,NA,1906.9,15,127.1,Assyrian Shekel,"Hard light brown limestone, good work."
221,Bronze,33-40,611.7,24,630,5,127.2,Assyrian Shekel,NA
222,Bronze,83-84,22.6,1.4,21.2,½,127.2,Assyrian Shekel,From burnt potter's rubbish in N. town. Level 370. Vth cent. B.C. (?).
223,Bronze,26,10.9,NA,10.6,¼,127.2,Assyrian Shekel,NA
224,"Basalt, gn.",33,7633,NA,7636,60,127.3,Assyrian Shekel,"Fine work, and polished; slightly too low and upright sides for pure domed type."
225,"Syenite, bl.",27-33,254.6,NA,254.6,2,127.3,Assyrian Shekel,NA
226,Alabaster,18-27,254.9,NA,254.9,2,127.5,Assyrian Shekel,NA
227,Limestone,6,255.3,NA,255.3,2,127.7,Assyrian Shekel,"Dark grey limestone pebble, ground down on under side."
228,Alabaster,18-27,639.0,NA,639.0,5,127.8,Assyrian Shekel,NA
229,Alabaster,18,638.8,NA,638.1,5,127.8,Assyrian Shekel,NA
230,Bronze,66,656.0,16,640,5,128.0,Assyrian Shekel,From middle of E. side of town. Level 400. Vth cent. B.C.
231,Harmatite,1-2,128.0,NA,128.0,1,128.0,Assyrian Shekel,NA
232,Bronze,43,128.7,21,128.,1,128.,Assyrian Shekel,NA
233,Bronze,25,0.0,10,16?,1,128?,Assyrian Shekel,NA
234,"Basalt, bl.",12,1281.2,NA,1283.0,10,128.3,Assyrian Shekel,NA
235,"Basalt, br.",14-19,641.0,NA,641.7,5,128.3,Assyrian Shekel,NA
236,"Syenite, bl.",27-37,1537.1,NA,154.1,12,128.4,Assyrian Shekel,NA
237,Bronze,33,659.0,23,642,5,128.4,Assyrian Shekel,Found with No. 213.
238,Limestone,79,1283.7,NA,1285.2,10,128.5,Assyrian Shekel,"Hard pale pink limestone. I have a similar one from Thebes (1885), but rather darker, weighing 94.9, which is apparently the Æginetan drachma; but the form seems to be derived from the duck weights, and is somewhat analogous to Nos. 220 and 267."
239,Bronze,13-25,65.8,1.5,64.3,½,128.6,Assyrian Shekel,"From the bottom of the second chamber from the east, on the S. side of the great mound."
240,"Basalt, br.",11,638.4,NA,643.5,5,128.7,Assyrian Shekel,NA
241,Bronze,66,388.6,NA,386,3,128.7,Assyrian Shekel,From middle of E. side of town. Level 400. Middle of Vth cent. B.C. (?).
242,"Basalt, br.",33-40,259.4,NA,259.4,2,128.7,Assyrian Shekel,NA
243,Limestone,64,128.7,NA,128.7,1,128.7,Assyrian Shekel,Very hard greenish-grey limestone (?).
244,Bronze,40,764.5,NA,773,6,128.8,Assyrian Shekel,NA
245,Bronze,40,634.6,NA,644,5,128.8,Assyrian Shekel,NA
246,Limestone,14,1285.1,NA,1289,10,128.9,Assyrian Shekel,"Hard, jet-black, highly-polished limestone. Hole in under face, to adjust by lead plugging (?)."
247,"Basalt, bl.",27,128.9,NA,128.9,1,128.9,Assyrian Shekel,NA
248,Bronze,37,139.9,60,129,1,129.,Assyrian Shekel,NA
249,"Basalt, bl.",23-27,2578.1,NA,2582,20,129.1,Assyrian Shekel,NA
250,Limestone,33,"30,970",NA,"31,020",240,129.3,Assyrian Shekel,Softish white limestone; fairly well made.
251,"Basalt, br.",38,646.5,NA,646.5,5,129.3,Assyrian Shekel,NA
252,Limestone,27-33,127.7,NA,129.5,1,129.5,Assyrian Shekel,Browny-grey limestone; rather dissolved on the surface.
253,Limestone,13,1296.1,NA,1296.0,10,129.6,Assyrian Shekel,"Hard browny-white limestone, brown face."
254,Bronze,25-29,11.1,3,10.8,¼,129.6,Assyrian Shekel,NA
255,Sandstone,2,"15,550",NA,"15,570",120,129.8,Assyrian Shekel,Certainly Assyrian by the multiple. We now reach the debatable ground of Attic and Assyrian standards.
256,"Basalt, br.",33-37,1297.9,NA,1298.0,10,129.8,Assyrian Shekel,Sides too straight and curves too fine to be likely to be Attic.
257,"Basalt, bl.",27,129.9,NA,129.9,1,129.9,Assyrian Shekel,Rather too straight and regular for Attic.
258,Bronze,57,130.2,21,130.0,1,130.0,Assyrian Shekel,So nearly cubic that it cannot be Attic.
259,Bronze,33,121.4,9,139.,1,130.,Assyrian Shekel,Rather too good a form for Attic.
260,Bronze,37,654.8,NA,652.,5,130.4,Assyrian Shekel,"Might be an Attic form, but the material is against it."
261,Limestone,49,260.5,NA,260.9,2,130.4,Assyrian Shekel,"Hardish dark brown-grey mottled limestone, very liable to crack. The form is distinctively Syrian, and this is the only one found here. The stone is like one from Syria."
262,Bronze,25,16.5,NA,16.3,½,130.4,Assyrian Shekel,"Assyrian by the fraction, probably; no quarter drachma is known, but quarter shekels are found here."
263,Bronze,67,3915.0,NA,3922.,30,130.8,Assyrian Shekel,"Assyrian by the tapering form and the rosette pattern. There is a similar weight in the Brit. Mus., with a rosette, weighing now 651.4, or five shekels of 130.4, a high standard agreeing closely with this."
